epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,67.7137,2.31471,4.40666,1.28727,0.45825,0.05202,0.05454,0.03034,2.24341,3.56248,1.12629,0.00019564,0.00019564,0.00019564
2,142.777,2.37329,3.59579,1.17504,0.60772,0.0778,0.07091,0.03755,2.2079,3.00586,1.11994,0.000385178,0.000385178,0.000385178
3,204.718,2.36269,3.7475,1.15274,0.55513,0.08335,0.08315,0.04333,2.2283,2.82082,1.12236,0.000568248,0.000568248,0.000568248
4,268.488,2.29564,2.8538,1.15705,0.63094,0.10519,0.09455,0.04947,2.12202,2.30275,1.09527,0.000558894,0.000558894,0.000558894
5,334.537,2.25001,2.69969,1.15031,0.24041,0.18184,0.1093,0.06145,2.07629,2.23074,1.09982,0.000549192,0.000549192,0.000549192
6,399.816,2.2368,2.52159,1.13497,0.09265,0.21022,0.12604,0.07212,2.0487,2.16479,1.08322,0.00053949,0.00053949,0.00053949
