epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,133.539,2.21211,4.33025,1.25007,0.3894,0.05956,0.06302,0.03497,2.19526,3.56988,1.09925,0.000194923,0.000194923,0.000194923
2,290.789,2.22381,3.53891,1.12522,0.62509,0.08737,0.08059,0.04459,2.17459,2.8219,1.07312,0.000388343,0.000388343,0.000388343
3,403.998,2.27966,2.9732,1.12155,0.56769,0.14506,0.10265,0.0557,2.11081,2.39836,1.07087,0.000579176,0.000579176,0.000579176
4,499.255,2.19016,2.56181,1.09879,0.57181,0.15041,0.12972,0.07376,2.07249,2.09348,1.0652,0.000576358,0.000576358,0.000576358
5,587.74,2.15364,2.31867,1.09534,0.62977,0.15443,0.1427,0.08295,2.00114,1.95598,1.06148,0.000572477,0.000572477,0.000572477
6,738.18,2.09371,2.15054,1.07303,0.61766,0.18139,0.15403,0.08899,1.96537,1.88875,1.05139,0.000568596,0.000568596,0.000568596
