epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2599.15,1.8283,1.57208,1.01896,0.54232,0.42192,0.41166,0.27091,1.77155,1.46874,1.01814,0.000428887,0.000428887,0.000428887
43,2659.47,1.83278,1.52649,1.01407,0.66858,0.32989,0.38157,0.24553,1.77937,1.506,1.02297,0.000425006,0.000425006,0.000425006
44,2720.29,1.81639,1.5242,1.00899,0.59704,0.37325,0.38265,0.25407,1.763,1.53189,1.02105,0.000421126,0.000421126,0.000421126
45,2780.93,1.81088,1.49773,1.00742,0.60748,0.36916,0.38805,0.25191,1.7507,1.49864,1.01795,0.000417245,0.000417245,0.000417245
46,2841.57,1.82067,1.50879,1.01076,0.56864,0.34735,0.37697,0.24668,1.76578,1.5386,1.02366,0.000413364,0.000413364,0.000413364
47,2901.24,1.80959,1.48455,1.01213,0.59529,0.3714,0.3964,0.26384,1.75202,1.48929,1.0183,0.000409483,0.000409483,0.000409483
48,2961.65,1.79688,1.47391,1.00549,0.50687,0.43907,0.4196,0.27589,1.7404,1.45119,1.0122,0.000405602,0.000405602,0.000405602
49,3022.93,1.82198,1.52955,1.01125,0.56084,0.40975,0.39469,0.26294,1.73255,1.49121,1.01363,0.000401722,0.000401722,0.000401722
50,3082.14,1.80646,1.44888,1.00733,0.49649,0.44481,0.43268,0.29218,1.78949,1.45578,1.02529,0.000397841,0.000397841,0.000397841
51,3142.32,1.80441,1.46038,1.00746,0.51929,0.45739,0.43697,0.28983,1.76148,1.41717,1.01279,0.00039396,0.00039396,0.00039396
52,3202.96,1.78389,1.44401,1.00041,0.59002,0.42579,0.4219,0.27673,1.74871,1.43255,1.01851,0.000390079,0.000390079,0.000390079
53,3264.3,1.80161,1.5205,0.99616,0.60668,0.38359,0.42531,0.28449,1.7262,1.40052,1.00248,0.000386198,0.000386198,0.000386198
54,3323.69,1.7697,1.4349,0.9986,0.55821,0.41559,0.41375,0.27559,1.76597,1.43782,1.02231,0.000382318,0.000382318,0.000382318
55,3384.2,1.77029,1.41935,0.99863,0.60562,0.40554,0.4393,0.29698,1.71955,1.41849,1.00788,0.000378437,0.000378437,0.000378437
56,3443.98,1.77938,1.4583,0.99566,0.54226,0.42928,0.42508,0.28646,1.72461,1.44236,1.01407,0.000374556,0.000374556,0.000374556
57,3503.43,1.75942,1.42577,0.99626,0.49717,0.45562,0.43675,0.29533,1.71261,1.45479,1.01436,0.000370675,0.000370675,0.000370675
58,3563.54,1.76945,1.41047,1.00179,0.47507,0.43854,0.42177,0.28446,1.70821,1.44545,1.00633,0.000366794,0.000366794,0.000366794
59,3624.47,1.74616,1.40521,0.98315,0.70022,0.36314,0.43369,0.29024,1.71413,1.4063,1.00277,0.000362914,0.000362914,0.000362914
60,3683.38,1.76262,1.37057,0.99397,0.65712,0.39479,0.44334,0.29446,1.74358,1.39752,1.01473,0.000359033,0.000359033,0.000359033
61,3743.79,1.7899,1.3924,1.00134,0.55197,0.4356,0.4414,0.29184,1.73866,1.40704,1.01104,0.000355152,0.000355152,0.000355152
62,3804.14,1.76139,1.37129,0.99373,0.57563,0.42272,0.46716,0.31147,1.6911,1.378,1.00342,0.000351271,0.000351271,0.000351271
63,3864.17,1.74374,1.36305,0.99836,0.53854,0.41333,0.45403,0.30251,1.73901,1.38007,1.00812,0.00034739,0.00034739,0.00034739
